candidato,hash,status,caminho,tipo_area,destino_identificado
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/05-core-banking/regenera-core-accounts/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/06-risk-control/regenera-control-fraud/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/06-risk-control/regenera-control-accounting/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/06-risk-control/regenera-control-reconciliation/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/06-risk-control/regenera-control-aml/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/04-bffs/regenera-bff-operations/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/04-bffs/regenera-bff-web/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/04-bffs/regenera-bff-mobile/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,17-releases/deployment-evidence/master-surgery-2026/raw/regenera-bank/regenera-bank/01-design-system/regenera-design-windows/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3429_B,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,LOCATED_MULTIPLE_OCCURRENCES,01-design-system/regenera-design-windows/Dockerfile,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_A,df969dec916b02c308e8dee37f06e52ff4ced9365dc72333db0351409d307862,LOCATED_ACTIVE_CODE,Auditoria 2/ARQUIVOS USAR E LISTA/03-Regenera-Core-Risk-Control(1)/05-core-banking/regenera-core-identity/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-android/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-partner-portal/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-web-banking/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-ios/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,03-channels/regenera-channel-windows-operations/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-ledger/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-credit/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-fees/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-pix/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-transactions/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-notifications/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-identity/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-payments/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-limits/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-customers/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-investments/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-cards/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,05-core-banking/regenera-core-accounts/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-fraud/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-accounting/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
3433_B,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,LOCATED_MULTIPLE_OCCURRENCES,06-risk-control/regenera-control-reconciliation/README.md,CÓDIGO ATIVO,DESTINATION_IDENTIFIED
