module,files_total,custom_files,custom_nonzero,custom_zero,custom_over_500,custom_bytes,maturity
09-data-platform/regenera-data-analytics,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-finance-reporting,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-governance,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-ingestion,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-lake,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-lineage,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-privacy,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-quality,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-risk-models,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-streaming,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
09-data-platform/regenera-data-warehouse,55,9,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
10-platform/regenera-platform-backups,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-cache,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-ci-cd,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-databases,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-developer-portal,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-disaster-recovery,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-event-bus,47,1,1,0,1,2048,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
10-platform/regenera-platform-kms-hsm,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-kubernetes,60,14,7,0,6,10039,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
10-platform/regenera-platform-object-storage,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-observability,48,2,2,0,2,5733,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
10-platform/regenera-platform-secrets,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-siem,46,0,0,0,0,0,SCAFFOLD PURO
10-platform/regenera-platform-terraform,67,21,21,0,0,2484,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-appsec,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-cloud,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-detection,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-iam,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-incident-response,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-kms-hsm,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-mobile,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-pam,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-pki,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-red-team,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-threat-intelligence,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
11-security/regenera-security-vulnerability-management,57,11,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-aml,56,10,1,0,0,120,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-card-pci,56,10,1,0,0,125,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-cloud-outsourcing,56,10,1,0,0,134,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-cosif,56,10,1,0,0,122,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-cvm,56,10,1,0,0,120,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-cybersecurity,56,10,1,0,0,130,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-lgpd,56,10,1,0,0,121,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-open-finance,56,10,1,0,0,129,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-pix,56,10,1,0,0,120,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-reporting,56,10,1,0,0,126,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-sisbacen,56,10,1,0,0,125,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-sisorf,56,10,1,0,0,123,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-susep,56,10,1,0,0,122,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
12-regulatory/regenera-regulatory-unicad,56,10,1,0,0,123,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
13-quality/regenera-quality-chaos,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-contract,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-e2e,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-financial-invariants,61,15,15,0,0,1632,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
13-quality/regenera-quality-integration,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-performance,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-regulatory,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-resilience,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-security,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-test-data,46,0,0,0,0,0,SCAFFOLD PURO
13-quality/regenera-quality-unit,46,0,0,0,0,0,SCAFFOLD PURO
14-operations/regenera-operations-accounting,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-aml,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-business-continuity,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-cards,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-change-management,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-customer-support,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-fraud,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-incident-management,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-noc,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-payment,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-pix,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-reconciliation,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-soc,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
14-operations/regenera-operations-treasury,56,10,0,0,0,0,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
15-tools/regenera-tool-comment-gate,47,1,1,0,0,121,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
15-tools/regenera-tool-contract-linter,47,1,1,0,0,237,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
15-tools/regenera-tool-developer-cli,47,1,1,0,1,1740,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
15-tools/regenera-tool-local-environment,46,0,0,0,0,0,SCAFFOLD PURO
15-tools/regenera-tool-migration-validator,47,1,1,0,0,444,CUSTOMIZAÇÃO MÍNIMA / NÃO COMPROVADA
15-tools/regenera-tool-release-manifest,46,0,0,0,0,0,SCAFFOLD PURO
15-tools/regenera-tool-sbom,46,0,0,0,0,0,SCAFFOLD PURO
15-tools/regenera-tool-schema-validator,46,0,0,0,0,0,SCAFFOLD PURO
15-tools/regenera-tool-secret-scanner,47,1,1,0,1,1740,CONTEÚDO PRESENTE — REQUER VALIDAÇÃO
15-tools/regenera-tool-test-data,46,0,0,0,0,0,SCAFFOLD PURO
