id,caminho,tipo,prioridade,tamanho
7274,07-integrations/regenera-integration-bacen/CODEOWNERS,C,P1,30
7310,07-integrations/regenera-integration-bureaus/.tool-versions,C,P3,7
7312,07-integrations/regenera-integration-bureaus/CODEOWNERS,C,P1,32
7348,07-integrations/regenera-integration-card-networks/.tool-versions,C,P3,7
7386,07-integrations/regenera-integration-card-processor/.tool-versions,C,P3,7
7424,07-integrations/regenera-integration-correspondents/.tool-versions,C,P3,7
7462,07-integrations/regenera-integration-custody/.tool-versions,C,P3,7
7464,07-integrations/regenera-integration-custody/CODEOWNERS,C,P1,32
7500,07-integrations/regenera-integration-dict/.tool-versions,C,P3,7
7502,07-integrations/regenera-integration-dict/CODEOWNERS,C,P1,29
7538,07-integrations/regenera-integration-kyc-providers/.tool-versions,C,P1,7
7577,07-integrations/regenera-integration-notifications/.tool-versions,C,P3,7
7615,07-integrations/regenera-integration-open-finance/.tool-versions,C,P3,7
7656,07-integrations/regenera-integration-spi/.tool-versions,C,P3,7
7658,07-integrations/regenera-integration-spi/CODEOWNERS,C,P1,28
7694,07-integrations/regenera-integration-susep/.tool-versions,C,P3,7
7696,07-integrations/regenera-integration-susep/CODEOWNERS,C,P1,30
7732,07-integrations/regenera-integration-swift/.tool-versions,C,P3,7
7734,07-integrations/regenera-integration-swift/CODEOWNERS,C,P1,30
7770,10-platform/regenera-platform-kms-hsm/.tool-versions,C,P3,14
7772,10-platform/regenera-platform-kms-hsm/CODEOWNERS,C,P1,29
7807,10-platform/regenera-platform-kubernetes/.tool-versions,B,P2,14
7809,10-platform/regenera-platform-kubernetes/CODEOWNERS,B,P2,32
7856,10-platform/regenera-platform-object-storage/.tool-versions,C,P3,14
7893,10-platform/regenera-platform-observability/.tool-versions,C,P1,14
7942,10-platform/regenera-platform-secrets/.tool-versions,C,P3,14
7944,10-platform/regenera-platform-secrets/CODEOWNERS,C,P1,29
7979,11-security/regenera-security-appsec/.tool-versions,C,P0,14
7981,11-security/regenera-security-appsec/CODEOWNERS,C,P0,28
8016,11-security/regenera-security-cloud/.tool-versions,C,P0,14
8018,11-security/regenera-security-cloud/CODEOWNERS,C,P0,27
8053,11-security/regenera-security-detection/.tool-versions,C,P0,14
8055,11-security/regenera-security-detection/CODEOWNERS,C,P0,31
8090,11-security/regenera-security-iam/.tool-versions,C,P0,14
8092,11-security/regenera-security-iam/CODEOWNERS,C,P0,25
8127,11-security/regenera-security-incident-response/.tool-versions,C,P0,14
8164,11-security/regenera-security-kms-hsm/.tool-versions,C,P0,14
8166,11-security/regenera-security-kms-hsm/CODEOWNERS,C,P0,29
8201,11-security/regenera-security-mobile/.tool-versions,C,P0,14
8203,11-security/regenera-security-mobile/CODEOWNERS,C,P0,28
8238,11-security/regenera-security-pam/.tool-versions,C,P0,14
8240,11-security/regenera-security-pam/CODEOWNERS,C,P0,25
8275,11-security/regenera-security-pki/.tool-versions,C,P0,14
8277,11-security/regenera-security-pki/CODEOWNERS,C,P0,25
8312,11-security/regenera-security-red-team/.tool-versions,C,P0,14
8314,11-security/regenera-security-red-team/CODEOWNERS,C,P0,30
8349,11-security/regenera-security-threat-intelligence/.tool-versions,C,P0,14
8386,11-security/regenera-security-vulnerability-management/.tool-versions,C,P0,14
8423,10-platform/regenera-platform-siem/.tool-versions,C,P3,14
8425,10-platform/regenera-platform-siem/CODEOWNERS,C,P1,26
8460,10-platform/regenera-platform-terraform/.tool-versions,B,P2,16
8462,10-platform/regenera-platform-terraform/CODEOWNERS,B,P2,31
8520,15-tools/regenera-tool-comment-gate/.tool-versions,C,P3,14
8558,15-tools/regenera-tool-contract-linter/.tool-versions,B,P3,14
8596,15-tools/regenera-tool-developer-cli/.tool-versions,C,P3,14
8638,15-tools/regenera-tool-local-environment/.tool-versions,C,P3,14
8675,15-tools/regenera-tool-migration-validator/.tool-versions,C,P0,14
8715,15-tools/regenera-tool-release-manifest/.tool-versions,C,P3,14
8752,15-tools/regenera-tool-sbom/.tool-versions,C,P3,14
8789,15-tools/regenera-tool-schema-validator/.tool-versions,C,P3,14
8826,15-tools/regenera-tool-secret-scanner/.tool-versions,C,P3,14
8864,15-tools/regenera-tool-test-data/.tool-versions,C,P3,14
8901,13-quality/regenera-quality-chaos/.tool-versions,C,P2,14
8903,13-quality/regenera-quality-chaos/CODEOWNERS,C,P2,20
8938,13-quality/regenera-quality-contract/.tool-versions,C,P2,14
8940,13-quality/regenera-quality-contract/CODEOWNERS,C,P2,20
8975,13-quality/regenera-quality-e2e/.tool-versions,C,P2,14
8977,13-quality/regenera-quality-e2e/CODEOWNERS,C,P2,20
9012,13-quality/regenera-quality-financial-invariants/.tool-versions,C,P2,14
9014,13-quality/regenera-quality-financial-invariants/CODEOWNERS,C,P2,20
9066,13-quality/regenera-quality-integration/.tool-versions,C,P2,14
9068,13-quality/regenera-quality-integration/CODEOWNERS,C,P2,20
9114,13-quality/regenera-quality-performance/.tool-versions,C,P2,14
9116,13-quality/regenera-quality-performance/CODEOWNERS,C,P2,20
9152,13-quality/regenera-quality-regulatory/.tool-versions,C,P2,14
9154,13-quality/regenera-quality-regulatory/CODEOWNERS,C,P2,20
9189,13-quality/regenera-quality-resilience/.tool-versions,C,P2,14
9191,13-quality/regenera-quality-resilience/CODEOWNERS,C,P2,20
9226,13-quality/regenera-quality-security/.tool-versions,C,P0,14
9228,13-quality/regenera-quality-security/CODEOWNERS,C,P0,20
9264,13-quality/regenera-quality-test-data/.tool-versions,C,P2,14
9266,13-quality/regenera-quality-test-data/CODEOWNERS,C,P2,20
9301,13-quality/regenera-quality-unit/.tool-versions,C,P2,14
9303,13-quality/regenera-quality-unit/CODEOWNERS,C,P2,20
9327,renovate.json,B,P1,4
9328,sonar-project.properties,B,P1,25
