seq	gate	cwd	exit_code	log_path	timestamp	runtime
11	secret-scan-gitleaks-domains-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	1	artifacts/verification/ci/run1/security/10-010-secret-scan-gitleaks-domains-core-bank.log	2026-06-30T20:46:19Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
12	secret-scan-secretlint-domains-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/11-011-secret-scan-secretlint-domains-core-bank.log	2026-06-30T20:46:20Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
13	secret-scan-gitleaks-bff-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	1	artifacts/verification/ci/run1/security/12-012-secret-scan-gitleaks-bff-web-bff.log	2026-06-30T20:46:21Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
14	secret-scan-secretlint-bff-web-bff	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/13-013-secret-scan-secretlint-bff-web-bff.log	2026-06-30T20:46:22Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
15	secret-scan-gitleaks-apps-web-banking	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/14-014-secret-scan-gitleaks-apps-web-banking.log	2026-06-30T20:46:23Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
16	secret-scan-secretlint-apps-web-banking	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/15-015-secret-scan-secretlint-apps-web-banking.log	2026-06-30T20:46:24Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
17	secret-scan-gitleaks-workers-outbox-relay	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/16-016-secret-scan-gitleaks-workers-outbox-relay.log	2026-06-30T20:46:25Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
18	secret-scan-secretlint-workers-outbox-relay	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/17-017-secret-scan-secretlint-workers-outbox-relay.log	2026-06-30T20:46:25Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
19	secret-scan-gitleaks-scripts	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/18-018-secret-scan-gitleaks-scripts.log	2026-06-30T20:46:27Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
20	secret-scan-secretlint-scripts	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank	0	artifacts/verification/ci/run1/security/19-019-secret-scan-secretlint-scripts.log	2026-06-30T20:46:27Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
21	audit-npm-core-bank	/Volumes/PRINCIPAL/Grok/eleve projeto/regenera-bank/domains/core-bank	1	artifacts/verification/ci/run1/security/20-020-audit-npm-core-bank.log	2026-06-30T20:46:28Z	{"node":"v26.0.0","npm":"11.12.1","bash":"3.2.57(1)-release"}
