conflict_id,pacote_origem,arquivo_origem,sha256,tamanho
2761,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-cards/README.md,e4cc95e1a1491d03df648ffe4a519f82b0b0c17e68ee601f89e21012ae99f7fe,508
2761,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-cards/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
2779,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-cards/service.yaml,87032af1497e792c03ee38be019dba6feae51bd76a0bc21ec00796a8570faa74,195
2779,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-cards/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
3100,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-customers/Dockerfile,ea5feb9663f9a08e0cebeec3592ddfea6cf6dde243447d49fb4403dc2dbce1b3,149
3100,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-customers/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
3104,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-customers/README.md,3554c8b42793b311736f98d5ed940eebe900735b3fc8da5ad20f385fca54461f,520
3104,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-customers/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
3133,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-customers/service.yaml,3f1be6b3529d55dda760e15009da00bdfcdd13736be960a04683ec1dd7f883d1,211
3133,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-customers/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
3287,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-fees/Dockerfile,7d43bea7f7ef15f9fa9f12e52807b1a67db2be24259eb1ae522dab120df49fa3,144
3287,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-fees/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
3291,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-fees/README.md,c6e18ee208ff69531291bcd3ee40d83745d0c5a237358020a83de8c6c8044156,501
3291,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-fees/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
3309,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-fees/service.yaml,0b62bf438cf93936a5e17359d15ed299610440b4c683055194f31377532ed9bb,187
3309,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-fees/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
3429,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-identity/Dockerfile,f92afc003b9cee2d4c8775a1bf40b8d4ceec0e2173f37308436535e7cdde45ce,148
3429,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-identity/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
3433,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-identity/README.md,df969dec916b02c308e8dee37f06e52ff4ced9365dc72333db0351409d307862,517
3433,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-identity/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
3506,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-identity/service.yaml,88a4d2b9c9a7035b5ce467702efabbd6bce687e4f451f46f11cb8bec646d52ba,207
3506,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-identity/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
3512,ARQUIVOS 2(1).zip,ARQUIVOS 2/2 PARTE /session.service.ts,ae421d19eb11a33e224d6b9ba223575b9a55b2cb25a3ba5a29d718244ecdd4cb,11538
3512,ARQUIVOS 2(1).zip,ARQUIVOS 2/CLAUDE FABLE 5/session.service.ts,ae421d19eb11a33e224d6b9ba223575b9a55b2cb25a3ba5a29d718244ecdd4cb,11538
3512,ARQUIVOS 2(1).zip,ARQUIVOS 2/session.service.ts,0a8fab7faab87963638583faf879f59aa0169d796ce5361314f3f28a3f87c423,13101
3654,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-ledger/Dockerfile,c24065b6ee8c0efc75120f9fdb4db2f7c7910cf61733200b56c77163bc4ed155,146
3654,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-ledger/Dockerfile,8cca466669df64368d1c1cf442f58f2fe4f29ce7152618050ec7d97232fe01b6,156
3658,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-ledger/README.md,32c7b8082d50b5009446147a341abbf7a9816ccfbb2b2f15e23b3c042d5375e1,511
3658,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-ledger/README.md,853d884214a65d5694efd688cb6cbb84c22b1c2ae80ae83bea3bc5716eb977b3,527
3691,03-Regenera-Core-Risk-Control(1).zip,05-core-banking/regenera-core-ledger/service.yaml,f53d38ade1257c62c026db9e8e7b2ce1fdae52de3c1e021e89eac8088ad43da6,199
3691,regenera-bank.zip,regenera-bank/05-core-banking/regenera-core-ledger/service.yaml,98919c541203ca1af74cbb630d4ff63db5ea8b37a88a60c09d25618f6427dccd,226
3693,ARQUIVOS 2(1).zip,ARQUIVOS 2/2 PARTE /ledger-posting.service.ts,e77ab119350d812a1bcd27d88b0a573eb33d204ff77ca7c24e6b6a2af4d58994,6652
