id,caminho,prioridade_anterior,prioridade_corrigida
8053,platform/security/detection/.tool-versions,P0,P3
8055,platform/security/detection/CODEOWNERS,P0,P3
8090,platform/security/iam/.tool-versions,P0,P3
8092,platform/security/iam/CODEOWNERS,P0,P3
8127,platform/security/incident-response/.tool-versions,P0,P3
8164,platform/security/kms-hsm/.tool-versions,P0,P3
8166,platform/security/kms-hsm/CODEOWNERS,P0,P3
8201,platform/security/mobile/.tool-versions,P0,P3
8203,platform/security/mobile/CODEOWNERS,P0,P3
8238,platform/security/pam/.tool-versions,P0,P3
8240,platform/security/pam/CODEOWNERS,P0,P3
8275,platform/security/pki/.tool-versions,P0,P3
8277,platform/security/pki/CODEOWNERS,P0,P3
8312,platform/security/red-team/.tool-versions,P0,P3
8314,platform/security/red-team/CODEOWNERS,P0,P3
8349,platform/security/threat-intelligence/.tool-versions,P0,P3
8386,platform/security/vulnerability-management/.tool-versions,P0,P3
8423,platform/siem/.tool-versions,P3,P2
8425,platform/siem/CODEOWNERS,P1,P2
8460,platform/terraform/.tool-versions,P2,P2
8462,platform/terraform/CODEOWNERS,P2,P2
8520,platform/tools/comment-gate/.tool-versions,P3,P2
8558,platform/tools/contract-linter/.tool-versions,P3,P2
8596,platform/tools/developer-cli/.tool-versions,P3,P2
8638,platform/tools/local-environment/.tool-versions,P3,P2
8675,platform/tools/migration-validator/.tool-versions,P0,P3
8715,platform/tools/release-manifest/.tool-versions,P3,P2
8752,platform/tools/sbom/.tool-versions,P3,P2
8789,platform/tools/schema-validator/.tool-versions,P3,P2
8826,platform/tools/secret-scanner/.tool-versions,P3,P2
8864,platform/tools/test-data/.tool-versions,P3,P3
8901,quality/chaos/.tool-versions,P2,P2
8903,quality/chaos/CODEOWNERS,P2,P2
8938,quality/contract/.tool-versions,P2,P2
8940,quality/contract/CODEOWNERS,P2,P2
8975,quality/e2e/.tool-versions,P2,P2
8977,quality/e2e/CODEOWNERS,P2,P2
9012,quality/financial-invariants/.tool-versions,P2,P2
9014,quality/financial-invariants/CODEOWNERS,P2,P2
9066,quality/integration/.tool-versions,P2,P2
9068,quality/integration/CODEOWNERS,P2,P2
9114,quality/performance/.tool-versions,P2,P2
9116,quality/performance/CODEOWNERS,P2,P2
9152,quality/regulatory/.tool-versions,P2,P2
9154,quality/regulatory/CODEOWNERS,P2,P2
9189,quality/resilience/.tool-versions,P2,P2
9191,quality/resilience/CODEOWNERS,P2,P2
9226,quality/security/.tool-versions,P0,P3
9228,quality/security/CODEOWNERS,P0,P3
9264,quality/test-data/.tool-versions,P2,P3
9266,quality/test-data/CODEOWNERS,P2,P3
9301,quality/unit/.tool-versions,P2,P2
9303,quality/unit/CODEOWNERS,P2,P2
9327,governance/release/repository-root/renovate.json,P1,P2
9328,governance/release/repository-root/sonar-project.properties,P1,P3
