id,caminho,classificacao_anterior,classificacao_corrigida,placeholder_confirmado,intencionalmente_minimo
8016,platform/security/cloud/.tool-versions,C,C,SIM,NAO
8018,platform/security/cloud/CODEOWNERS,C,C,SIM,NAO
8053,platform/security/detection/.tool-versions,C,C,SIM,NAO
8055,platform/security/detection/CODEOWNERS,C,C,SIM,NAO
8090,platform/security/iam/.tool-versions,C,C,SIM,NAO
8092,platform/security/iam/CODEOWNERS,C,C,SIM,NAO
8127,platform/security/incident-response/.tool-versions,C,C,SIM,NAO
8164,platform/security/kms-hsm/.tool-versions,C,C,SIM,NAO
8166,platform/security/kms-hsm/CODEOWNERS,C,C,SIM,NAO
8201,platform/security/mobile/.tool-versions,C,C,SIM,NAO
8203,platform/security/mobile/CODEOWNERS,C,C,SIM,NAO
8238,platform/security/pam/.tool-versions,C,C,SIM,NAO
8240,platform/security/pam/CODEOWNERS,C,C,SIM,NAO
8275,platform/security/pki/.tool-versions,C,C,SIM,NAO
8277,platform/security/pki/CODEOWNERS,C,C,SIM,NAO
8312,platform/security/red-team/.tool-versions,C,C,SIM,NAO
8314,platform/security/red-team/CODEOWNERS,C,C,SIM,NAO
8349,platform/security/threat-intelligence/.tool-versions,C,C,SIM,NAO
8386,platform/security/vulnerability-management/.tool-versions,C,C,SIM,NAO
8423,platform/siem/.tool-versions,C,C,SIM,NAO
8425,platform/siem/CODEOWNERS,C,C,SIM,NAO
8460,platform/terraform/.tool-versions,B,C,SIM,NAO
8462,platform/terraform/CODEOWNERS,B,C,SIM,NAO
8520,platform/tools/comment-gate/.tool-versions,C,C,SIM,NAO
8558,platform/tools/contract-linter/.tool-versions,B,C,SIM,NAO
8596,platform/tools/developer-cli/.tool-versions,C,C,SIM,NAO
8638,platform/tools/local-environment/.tool-versions,C,C,SIM,NAO
8675,platform/tools/migration-validator/.tool-versions,C,C,SIM,NAO
8715,platform/tools/release-manifest/.tool-versions,C,C,SIM,NAO
8752,platform/tools/sbom/.tool-versions,C,C,SIM,NAO
8789,platform/tools/schema-validator/.tool-versions,C,C,SIM,NAO
8826,platform/tools/secret-scanner/.tool-versions,C,C,SIM,NAO
8864,platform/tools/test-data/.tool-versions,C,C,SIM,NAO
8901,quality/chaos/.tool-versions,C,C,SIM,NAO
8903,quality/chaos/CODEOWNERS,C,C,SIM,NAO
8938,quality/contract/.tool-versions,C,C,SIM,NAO
8940,quality/contract/CODEOWNERS,C,C,SIM,NAO
8975,quality/e2e/.tool-versions,C,C,SIM,NAO
8977,quality/e2e/CODEOWNERS,C,C,SIM,NAO
9012,quality/financial-invariants/.tool-versions,C,C,SIM,NAO
9014,quality/financial-invariants/CODEOWNERS,C,C,SIM,NAO
9066,quality/integration/.tool-versions,C,C,SIM,NAO
9068,quality/integration/CODEOWNERS,C,C,SIM,NAO
9114,quality/performance/.tool-versions,C,C,SIM,NAO
9116,quality/performance/CODEOWNERS,C,C,SIM,NAO
9152,quality/regulatory/.tool-versions,C,C,SIM,NAO
9154,quality/regulatory/CODEOWNERS,C,C,SIM,NAO
