id,caminho,tipo,prioridade
6769,platform/data/ingestion/.tool-versions,C,P3
6771,platform/data/ingestion/CODEOWNERS,C,P1
6806,platform/data/lake/.tool-versions,C,P3
6808,platform/data/lake/CODEOWNERS,C,P1
6843,platform/data/lineage/.tool-versions,C,P3
6845,platform/data/lineage/CODEOWNERS,C,P1
6880,platform/data/privacy/.tool-versions,C,P3
6882,platform/data/privacy/CODEOWNERS,C,P1
6917,platform/data/quality/.tool-versions,C,P2
6919,platform/data/quality/CODEOWNERS,C,P2
6954,platform/data/risk-models/.tool-versions,C,P3
6956,platform/data/risk-models/CODEOWNERS,C,P1
6991,platform/data/streaming/.tool-versions,C,P3
6993,platform/data/streaming/CODEOWNERS,C,P1
7028,platform/data/warehouse/.tool-versions,C,P3
7030,platform/data/warehouse/CODEOWNERS,C,P1
7065,platform/databases/.tool-versions,C,P3
7067,platform/databases/CODEOWNERS,C,P1
7113,platform/developer-portal/.tool-versions,C,P3
7150,platform/disaster-recovery/.tool-versions,C,P2
7187,platform/event-bus/.tool-versions,C,P3
7189,platform/event-bus/CODEOWNERS,C,P1
7234,platform/integrations/b3/.tool-versions,C,P3
7236,platform/integrations/b3/CODEOWNERS,C,P1
7272,platform/integrations/bacen/.tool-versions,C,P3
7274,platform/integrations/bacen/CODEOWNERS,C,P1
7310,platform/integrations/bureaus/.tool-versions,C,P3
7312,platform/integrations/bureaus/CODEOWNERS,C,P1
7348,platform/integrations/card-networks/.tool-versions,C,P3
7386,platform/integrations/card-processor/.tool-versions,C,P3
7424,platform/integrations/correspondents/.tool-versions,C,P3
7462,platform/integrations/custody/.tool-versions,C,P3
7464,platform/integrations/custody/CODEOWNERS,C,P1
7500,platform/integrations/dict/.tool-versions,C,P3
7502,platform/integrations/dict/CODEOWNERS,C,P1
7538,platform/integrations/kyc-providers/.tool-versions,C,P1
7577,platform/integrations/notifications/.tool-versions,C,P3
7615,platform/integrations/open-finance/.tool-versions,C,P3
7656,platform/integrations/spi/.tool-versions,C,P3
7658,platform/integrations/spi/CODEOWNERS,C,P1
7694,platform/integrations/susep/.tool-versions,C,P3
7696,platform/integrations/susep/CODEOWNERS,C,P1
7732,platform/integrations/swift/.tool-versions,C,P3
7734,platform/integrations/swift/CODEOWNERS,C,P1
7770,platform/kms-hsm/.tool-versions,C,P3
7772,platform/kms-hsm/CODEOWNERS,C,P1
7807,platform/kubernetes/.tool-versions,C,P2
7809,platform/kubernetes/CODEOWNERS,C,P2
7856,platform/object-storage/.tool-versions,C,P3
7893,platform/observability/.tool-versions,C,P1
7942,platform/secrets/.tool-versions,C,P3
7944,platform/secrets/CODEOWNERS,C,P1
7979,platform/security/appsec/.tool-versions,C,P0
7981,platform/security/appsec/CODEOWNERS,C,P0
8016,platform/security/cloud/.tool-versions,C,P0
8018,platform/security/cloud/CODEOWNERS,C,P0
8053,platform/security/detection/.tool-versions,C,P0
8055,platform/security/detection/CODEOWNERS,C,P0
8090,platform/security/iam/.tool-versions,C,P0
8092,platform/security/iam/CODEOWNERS,C,P0
8127,platform/security/incident-response/.tool-versions,C,P0
8164,platform/security/kms-hsm/.tool-versions,C,P0
8166,platform/security/kms-hsm/CODEOWNERS,C,P0
8201,platform/security/mobile/.tool-versions,C,P0
8203,platform/security/mobile/CODEOWNERS,C,P0
8238,platform/security/pam/.tool-versions,C,P0
8240,platform/security/pam/CODEOWNERS,C,P0
8275,platform/security/pki/.tool-versions,C,P0
8277,platform/security/pki/CODEOWNERS,C,P0
8312,platform/security/red-team/.tool-versions,C,P0
8314,platform/security/red-team/CODEOWNERS,C,P0
8349,platform/security/threat-intelligence/.tool-versions,C,P0
8386,platform/security/vulnerability-management/.tool-versions,C,P0
8423,platform/siem/.tool-versions,C,P3
8425,platform/siem/CODEOWNERS,C,P1
8460,platform/terraform/.tool-versions,C,P2
8462,platform/terraform/CODEOWNERS,C,P2
8520,platform/tools/comment-gate/.tool-versions,C,P3
8558,platform/tools/contract-linter/.tool-versions,C,P3
8596,platform/tools/developer-cli/.tool-versions,C,P3
8638,platform/tools/local-environment/.tool-versions,C,P3
8675,platform/tools/migration-validator/.tool-versions,C,P0
8715,platform/tools/release-manifest/.tool-versions,C,P3
8752,platform/tools/sbom/.tool-versions,C,P3
8789,platform/tools/schema-validator/.tool-versions,C,P3
8826,platform/tools/secret-scanner/.tool-versions,C,P3
8864,platform/tools/test-data/.tool-versions,C,P3
8901,quality/chaos/.tool-versions,C,P2
8903,quality/chaos/CODEOWNERS,C,P2
