conflict_id,caminho,esperado,encontrado,match
1563,,4226d9c125caea4d9804869eb3be71743cd89fcb7474bcfd383a5f5748269ed6,4226d9c125caea4d9804869eb3be71743cd89fcb7474bcfd383a5f5748269ed6,SIM
1582,,16cbcfb3b755e6c44000f21d0f7fa0aa0e5333ce6a7187d4af7ea3cc69b07625,16cbcfb3b755e6c44000f21d0f7fa0aa0e5333ce6a7187d4af7ea3cc69b07625,SIM
2386,,989579c296898f745a224bba4514a9cc81ce2bc286362debc17050da6542e390,989579c296898f745a224bba4514a9cc81ce2bc286362debc17050da6542e390,SIM
2390,,7841bb116f0fb019235145bb249701847a6a5b3961191711c1cc1628838c6409,7841bb116f0fb019235145bb249701847a6a5b3961191711c1cc1628838c6409,SIM
2445,,0ff18b973cea3c8bf4b86572191595f270573624b480674d37b35811f59d86e3,0ff18b973cea3c8bf4b86572191595f270573624b480674d37b35811f59d86e3,SIM
2474,,d624a3c6237adf9c55920bb04f488f93f16b89c088fd9f7cf05ffbebcfdfc43f,d624a3c6237adf9c55920bb04f488f93f16b89c088fd9f7cf05ffbebcfdfc43f,SIM
2478,,ae3fbb87893242a53970ca9770a5ff7f5aaa22df529991af5c5656c8a7485ff0,ae3fbb87893242a53970ca9770a5ff7f5aaa22df529991af5c5656c8a7485ff0,SIM
2503,,e20ca5217e52973a7fae3a2837afd5a9bfc1dfa0d14dc8e051db4d3b24a23655,e20ca5217e52973a7fae3a2837afd5a9bfc1dfa0d14dc8e051db4d3b24a23655,SIM
2757,,3780830faf61f21849f0d8dc0d36a99b772bbf879bd0a360d4488a0e342b9715,3780830faf61f21849f0d8dc0d36a99b772bbf879bd0a360d4488a0e342b9715,SIM
2761,,e4cc95e1a1491d03df648ffe4a519f82b0b0c17e68ee601f89e21012ae99f7fe,e4cc95e1a1491d03df648ffe4a519f82b0b0c17e68ee601f89e21012ae99f7fe,SIM
2779,,87032af1497e792c03ee38be019dba6feae51bd76a0bc21ec00796a8570faa74,87032af1497e792c03ee38be019dba6feae51bd76a0bc21ec00796a8570faa74,SIM
3100,,ea5feb9663f9a08e0cebeec3592ddfea6cf6dde243447d49fb4403dc2dbce1b3,ea5feb9663f9a08e0cebeec3592ddfea6cf6dde243447d49fb4403dc2dbce1b3,SIM
3104,,3554c8b42793b311736f98d5ed940eebe900735b3fc8da5ad20f385fca54461f,3554c8b42793b311736f98d5ed940eebe900735b3fc8da5ad20f385fca54461f,SIM
3133,,3f1be6b3529d55dda760e15009da00bdfcdd13736be960a04683ec1dd7f883d1,3f1be6b3529d55dda760e15009da00bdfcdd13736be960a04683ec1dd7f883d1,SIM
3287,,7d43bea7f7ef15f9fa9f12e52807b1a67db2be24259eb1ae522dab120df49fa3,7d43bea7f7ef15f9fa9f12e52807b1a67db2be24259eb1ae522dab120df49fa3,SIM
3291,,c6e18ee208ff69531291bcd3ee40d83745d0c5a237358020a83de8c6c8044156,c6e18ee208ff69531291bcd3ee40d83745d0c5a237358020a83de8c6c8044156,SIM
